image,x,y,w,h,contrast,area_px,aspect,fill,polarity,sat_frac,dark_frac,on_grid8,near_edge,matches,evidence_class,score,verdict,flags
NHQ201905310029_enh.png,6300,2656,132,108,4.15,14256,1.22,0.505,bright,0.098,0.037,False,False,0,2,76.8,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116864914ME_pyr_enh.png,500,4508,128,292,3.24,37376,2.28,0.327,bright,0.13,0.084,False,False,0,2,76.2,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
ESP_093494_2015_RED.browse_enh.png,804,3632,12,40,3.86,480,3.33,0.733,dark,0.0,0.065,False,False,2,3,75.1,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
ESP_093494_2015_MRGB.browse_enh.png,804,3628,12,44,3.87,528,3.67,0.697,dark,0.0,0.057,False,False,2,3,74.7,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
ESP_093494_2015_MIRB.browse_enh.png,804,3628,12,44,3.86,528,3.67,0.697,dark,0.0,0.053,False,False,2,3,74.6,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
PIA14114_enh.png,488,516,180,296,13.17,53280,1.64,0.257,bright,0.339,0.05,False,False,0,2,73.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
NHQ201906010006_enh.png,1264,1668,72,72,7.68,5184,1.0,0.59,dark,0.034,0.045,False,False,0,2,72.6,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116858127ME_pyr_enh.png,1280,6104,100,196,3.35,19600,1.96,0.379,bright,0.145,0.171,True,False,0,2,72.5,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
NHQ201906010008_enh.png,4104,1824,56,56,5.33,3136,1.0,0.541,bright,0.218,0.086,True,False,0,2,71.6,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
NHQ201905310034_enh.png,6084,3216,44,52,4.46,2288,1.18,0.58,bright,0.0,0.0,False,False,0,2,70.8,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
NHQ201906010008_enh.png,3748,2680,48,40,5.41,1920,1.2,0.667,bright,0.13,0.032,False,False,0,2,70.6,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
NHQ201905310044_enh.png,6860,1080,56,40,4.66,2240,1.4,0.393,bright,0.055,0.133,False,False,0,2,70.5,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116864914ME_pyr_enh.png,1236,3248,44,96,4.52,4224,2.18,0.58,bright,0.187,0.319,False,False,0,2,70.1,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
PIA13496_enh.png,792,1052,48,32,5.39,1536,1.5,0.26,bright,0.0,0.249,False,False,0,2,69.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116864914ME_pyr_enh.png,1792,10096,52,112,3.8,5824,2.15,0.61,bright,0.219,0.212,True,False,0,2,69.2,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116860460ME_pyr_enh.png,1084,9060,56,140,3.64,7840,2.5,0.388,bright,0.098,0.19,False,False,0,2,68.3,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116863408ME_pyr_enh.png,480,1344,36,128,4.0,4608,3.56,0.635,bright,0.23,0.249,True,False,0,2,68.0,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116864914ME_pyr_enh.png,868,4352,92,228,2.81,20976,2.48,0.406,bright,0.192,0.17,False,False,0,2,67.6,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
NHQ201905310029_enh.png,2816,3268,212,676,2.36,143312,3.19,0.092,bright,0.0,0.0,False,False,0,2,67.0,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
NHQ201905310042_enh.png,4048,620,36,12,4.29,432,3.0,0.852,bright,0.0,0.0,False,False,0,2,66.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
NHQ201905310045_enh.png,7712,3704,28,56,3.75,1568,2.0,0.551,bright,0.0,0.097,True,False,0,2,66.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116864914ME_pyr_enh.png,1292,9492,36,12,5.06,432,3.0,0.889,bright,0.287,0.019,False,False,0,2,66.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
NHQ201905310026_enh.png,6428,6716,24,8,4.33,192,3.0,1.0,bright,0.0,0.0,False,False,0,2,66.8,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
NHQ201905310041_enh.png,2500,3076,44,36,3.58,1584,1.22,0.333,bright,0.0,0.192,False,False,0,2,66.8,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
NHQ201905310045_enh.png,6192,3052,24,8,6.09,192,3.0,1.0,dark,0.25,0.042,False,False,0,2,66.8,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116860067ME_pyr_enh.png,80,1792,8,24,4.58,192,3.0,1.0,bright,0.214,0.0,True,False,0,2,66.8,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116860067ME_pyr_enh.png,520,4892,24,8,5.08,192,3.0,1.0,bright,0.031,0.0,False,False,0,2,66.8,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116862626ME_pyr_enh.png,1220,7748,24,8,4.44,192,3.0,1.0,bright,0.005,0.0,False,False,0,2,66.8,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116863212ME_pyr_enh.png,872,7728,8,24,9.15,192,3.0,1.0,bright,0.0,0.109,True,False,0,2,66.8,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
NHQ201905310038_enh.png,136,3756,40,12,5.84,480,3.33,0.667,dark,0.042,0.0,False,False,0,2,66.4,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
NHQ201905310044_enh.png,6268,4480,40,12,4.46,480,3.33,0.767,bright,0.0,0.0,False,False,0,2,66.4,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116860067ME_pyr_enh.png,1780,532,16,56,4.47,896,3.5,0.75,bright,0.262,0.061,False,False,0,2,66.3,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116860460ME_pyr_enh.png,612,56,16,56,4.81,896,3.5,0.607,bright,0.107,0.105,False,False,0,2,66.3,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116862822ME_pyr_enh.png,496,2744,16,56,4.4,896,3.5,0.679,bright,0.278,0.068,True,False,0,2,66.3,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
NHQ201905310043_enh.png,580,3920,8,28,4.12,224,3.5,0.857,dark,0.0,0.21,False,False,0,2,65.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
NHQ201905310045_enh.png,6192,2888,28,8,6.58,224,3.5,1.0,dark,0.263,0.018,True,False,0,2,65.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
NHQ201905310045_enh.png,6188,3152,28,8,6.47,224,3.5,1.0,dark,0.165,0.0,False,False,0,2,65.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
NHQ201905310045_enh.png,6188,3180,28,8,10.14,224,3.5,1.0,dark,0.138,0.0,False,False,0,2,65.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
NHQ201905310045_enh.png,8088,3656,28,8,5.16,224,3.5,1.0,bright,0.0,0.0,True,False,0,2,65.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116860262ME_pyr_enh.png,196,7140,8,28,8.21,224,3.5,0.857,bright,0.062,0.031,False,False,0,2,65.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116860262ME_pyr_enh.png,1588,7664,28,8,6.32,224,3.5,0.929,bright,0.188,0.0,False,False,0,2,65.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116860460ME_pyr_enh.png,20,952,8,28,4.77,224,3.5,1.0,bright,0.237,0.004,False,False,0,2,65.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116860852ME_pyr_enh.png,692,9212,8,28,15.33,224,3.5,0.929,bright,0.098,0.027,False,False,0,2,65.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116861050ME_pyr_enh.png,232,7868,8,28,5.15,224,3.5,0.857,bright,0.0,0.004,False,False,0,2,65.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116861050ME_pyr_enh.png,268,8456,8,28,4.11,224,3.5,0.929,bright,0.0,0.0,False,False,0,2,65.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116861500ME_pyr_enh.png,136,2604,28,8,4.1,224,3.5,0.929,bright,0.0,0.009,False,False,0,2,65.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116861500ME_pyr_enh.png,700,6880,28,8,4.57,224,3.5,0.929,bright,0.0,0.0,False,False,0,2,65.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116862235ME_pyr_enh.png,756,552,28,8,4.04,224,3.5,0.929,bright,0.147,0.0,False,False,0,2,65.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116862430ME_pyr_enh.png,452,336,8,28,5.78,224,3.5,0.929,bright,0.009,0.0,False,False,0,2,65.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116862430ME_pyr_enh.png,1236,4256,8,28,7.02,224,3.5,0.929,bright,0.134,0.049,False,False,0,2,65.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116862430ME_pyr_enh.png,292,4368,8,28,4.48,224,3.5,0.929,bright,0.129,0.022,False,False,0,2,65.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
ESP_093494_2015_MIRB.browse_enh.png,1380,6824,40,12,2.77,480,3.33,0.567,dark,0.037,0.0,False,False,2,3,65.6,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
ESP_093494_2015_MRGB.browse_enh.png,1380,6824,40,12,2.77,480,3.33,0.567,dark,0.037,0.0,False,False,2,3,65.6,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
M116861245ME_pyr_enh.png,1564,2576,28,8,3.96,224,3.5,0.857,bright,0.089,0.0,False,False,0,2,65.6,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
ESP_093494_2015_RED.browse_enh.png,2384,4088,52,16,2.72,832,3.25,0.635,dark,0.0,0.043,True,False,2,3,65.5,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
