image,x,y,w,h,contrast,area_px,aspect,polarity,evidence_class,matches_coord,agrees,disagrees,near_edge,persistence,compactness,bg_std,smooth,grid_energy,edge_sharpness,contrast_stability,interest,score,verdict,confidence,flags,recommendation,path,baseline_fp,fdr_q,solar_elevation_deg,solar_azimuth_deg,pixel_scale_m,size_m,shadow_alignment,inferred_height_m,spacecraft_altitude_km
ESP_013236_1410_MIRB.abrowse_enh.png,752,5296,12,28,3.77,336,2.33,dark,3,2,2,0,False,1.0,1.0,22.63,no,0.8626,1.262,0.9715,60.9,100.0,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\ESP_013236_1410\ESP_013236_1410_MIRB.abrowse_enh.png,,0.025,,,,,,,
ESP_013236_1410_MIRB.browse_enh.png,1276,2732,12,32,3.86,384,2.67,dark,3,2,2,0,False,1.0,1.0,13.18,no,0.79,1.5945,0.8818,61.2,100.0,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\ESP_013236_1410\ESP_013236_1410_MIRB.browse_enh.png,,0.025,,,,,,,
ESP_013236_1410_MRGB.abrowse_enh.png,752,5296,12,28,3.77,336,2.33,dark,3,2,2,0,False,1.0,1.0,22.63,no,0.8626,1.262,0.9715,60.9,100.0,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\ESP_013236_1410\ESP_013236_1410_MRGB.abrowse_enh.png,,0.025,,,,,,,
ESP_013236_1410_MRGB.browse_enh.png,1276,2732,12,32,3.86,384,2.67,dark,3,2,2,0,False,1.0,1.0,13.18,no,0.79,1.5945,0.8818,61.2,100.0,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\ESP_013236_1410\ESP_013236_1410_MRGB.browse_enh.png,,0.025,,,,,,,
ESP_013236_1410_RED.abrowse_enh.png,752,5296,12,28,3.88,336,2.33,dark,3,2,2,0,False,1.0,1.0,22.86,no,0.8691,1.2294,0.9635,61.9,100.0,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\ESP_013236_1410\ESP_013236_1410_RED.abrowse_enh.png,,0.025,,,,,,,
ESP_013236_1410_RED.browse_enh.png,1276,2732,12,32,3.88,384,2.67,dark,3,2,2,0,False,1.0,1.0,14.04,no,0.7921,1.5854,0.8926,61.4,100.0,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\ESP_013236_1410\ESP_013236_1410_RED.browse_enh.png,,0.025,,,,,,,
ESP_013948_1410_MIRB.abrowse_enh.png,2084,9972,20,24,3.49,480,1.2,bright,3,2,2,0,False,1.0,1.0,20.99,no,0.8105,1.5477,0.9002,60.4,100.0,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\ESP_013948_1410\ESP_013948_1410_MIRB.abrowse_enh.png,,0.049,,,,,,,
ESP_013948_1410_MIRB.browse_enh.png,728,5516,16,28,3.97,448,1.75,dark,3,2,2,0,False,1.0,1.0,19.52,no,0.8885,1.5306,0.9349,63.7,100.0,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\ESP_013948_1410\ESP_013948_1410_MIRB.browse_enh.png,,0.025,,,,,,,
ESP_013948_1410_MRGB.abrowse_enh.png,2084,9972,20,24,3.64,480,1.2,bright,3,2,2,0,False,1.0,1.0,20.58,no,0.8176,1.5227,0.8915,61.8,100.0,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\ESP_013948_1410\ESP_013948_1410_MRGB.abrowse_enh.png,,0.034,,,,,,,
ESP_013948_1410_MRGB.browse_enh.png,728,5516,16,28,3.95,448,1.75,dark,3,2,2,0,False,1.0,1.0,19.73,no,0.8879,1.5159,0.936,63.5,100.0,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\ESP_013948_1410\ESP_013948_1410_MRGB.browse_enh.png,,0.025,,,,,,,
